AGNO,COD_DEPE,COD_REG_RBD,COD_ENSE,PROM_GRAL
2010,Particular Subvencionado,Región de Los Lagos,Educacion Media,4.9881915772089185
2010,Particular Subvencionado,Región de Los Ríos,Educacion Basica,5.371958612516523
2010,Particular Subvencionado,Región de Los Ríos,Educacion Media,5.0265712089179315
2010,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Basica,5.885720837792387
2010,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Media,5.12685601799775
2010,Particular Subvencionado,Región de Tarapacá,Educacion Basica,5.4165173554249755
2010,Particular Subvencionado,Región de Tarapacá,Educacion Media,4.9334962926749775
2010,Particular Subvencionado,Región de Valparaíso,Educacion Basica,5.5348928365937855
2010,Particular Subvencionado,Región de Valparaíso,Educacion Media,5.148746168849262
2010,Particular Subvencionado,Región del Bío-Bío,Educacion Basica,5.549106898536503
2010,Particular Subvencionado,Región del Bío-Bío,Educacion Media,5.235009683807368
2010,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.601418337765639
2010,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Media,5.1057381948595335
2010,Particular Subvencionado,Región del Maule,Educacion Basica,5.440207507844529
2010,Particular Subvencionado,Región del Maule,Educacion Media,5.1950182943991
2011,Municipal,Región Metropolitana de Santiago,Educacion Basica,5.010761213960066
2011,Municipal,Región Metropolitana de Santiago,Educacion Media,4.452815284374141
2011,Municipal,Región de Antofagasta,Educacion Basica,5.282354347826087
2011,Municipal,Región de Antofagasta,Educacion Media,4.66181260432174
2011,Municipal,Región de Arica y Parinacota,Educacion Basica,5.3456105545084815
2011,Municipal,Región de Arica y Parinacota,Educacion Media,4.479647178889051
2011,Municipal,Región de Atacama,Educacion Basica,5.285260686468154
2011,Municipal,Región de Atacama,Educacion Media,4.681537450722733
2011,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.155977784273603
2011,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Media,4.2906741003547895
2011,Municipal,Región de Coquimbo,Educacion Basica,5.253428346719416
2011,Municipal,Región de Coquimbo,Educacion Media,4.612430548540257
2011,Municipal,Región de La Araucanía,Educacion Basica,5.2434180321380515
2011,Municipal,Región de La Araucanía,Educacion Media,4.649931077941003
2011,Municipal,Región de Los Lagos,Educacion Basica,5.258512250778686
2011,Municipal,Región de Los Lagos,Educacion Media,4.3364245428131944
2011,Municipal,Región de Los Ríos,Educacion Basica,5.278325924749961
2011,Municipal,Región de Los Ríos,Educacion Media,4.404995239141581
2011,Municipal,Región de Magallanes y Antártica Chilena,Educacion Basica,5.494705882352941
2011,Municipal,Región de Magallanes y Antártica Chilena,Educacion Media,5.102936857562408
2011,Municipal,Región de Tarapacá,Educacion Basica,4.711506348930249
2011,Municipal,Región de Tarapacá,Educacion Media,4.292066957787482
2011,Municipal,Región de Valparaíso,Educacion Basica,5.08913420926252
2011,Municipal,Región de Valparaíso,Educacion Media,4.406965505749042
2011,Municipal,Región del Bío-Bío,Educacion Basica,5.299868317288378
2011,Municipal,Región del Bío-Bío,Educacion Media,4.704153843648739
2011,Municipal,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.251483964372266
2011,Municipal,Región del Libertador Bernardo O'Higgins,Educacion Media,4.641892954123196
2011,Municipal,Región del Maule,Educacion Basica,5.281769906941975
2011,Municipal,Región del Maule,Educacion Media,4.529884639840131
2011,Particular Pagado,Región Metropolitana de Santiago,Educacion Basica,5.887360704741584
2011,Particular Pagado,Región Metropolitana de Santiago,Educacion Media,5.628597955307025
2011,Particular Pagado,Región de Antofagasta,Educacion Basica,5.774196412715326
2011,Particular Pagado,Región de Antofagasta,Educacion Media,5.436101758323981
2011,Particular Pagado,Región de Arica y Parinacota,Educacion Basica,6.125421686746988
2011,Particular Pagado,Región de Arica y Parinacota,Educacion Media,5.700208768267224
2011,Particular Pagado,Región de Atacama,Educacion Basica,5.77095015576324
2011,Particular Pagado,Región de Atacama,Educacion Media,5.181239530988274
2011,Particular Pagado,Región de Coquimbo,Educacion Basica,5.979136104319478
2011,Particular Pagado,Región de Coquimbo,Educacion Media,5.7135792778649925
2011,Particular Pagado,Región de La Araucanía,Educacion Basica,5.963955757970072
2011,Particular Pagado,Región de La Araucanía,Educacion Media,5.507935483870967
2011,Particular Pagado,Región de Los Lagos,Educacion Basica,5.768318965517241
2011,Particular Pagado,Región de Los Lagos,Educacion Media,5.628399122807017
2011,Particular Pagado,Región de Los Ríos,Educacion Basica,5.9078291814946615
2011,Particular Pagado,Región de Los Ríos,Educacion Media,5.794164037854889
2011,Particular Pagado,Región de Magallanes y Antártica Chilena,Educacion Basica,5.988961510530137
2011,Particular Pagado,Región de Magallanes y Antártica Chilena,Educacion Media,5.653492333901192
2011,Particular Pagado,Región de Tarapacá,Educacion Basica,5.520330969267139
2011,Particular Pagado,Región de Tarapacá,Educacion Media,5.393772893772894
2011,Particular Pagado,Región de Valparaíso,Educacion Basica,5.818069607446378
2011,Particular Pagado,Región de Valparaíso,Educacion Media,5.584554177392932
2011,Particular Pagado,Región del Bío-Bío,Educacion Basica,5.641338459939727
